BillURL,SessionYr,BillName,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2010-12/bettingshops.html,2010-12,Betting Shops Bill,1st reading: House of Commons,19.07.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110719/debtext/110719-0002.htm#11071988000002
http://services.parliament.uk//bills/2010-12/broadcastingpublicservicecontent.html,2010-12,Broadcasting (Public Service Content) Bill,1st reading: House of Commons,05.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100705/debtext/100705-0002.htm#10070540000002
http://services.parliament.uk//bills/2010-12/broadcastingpublicservicecontent.html,2010-12,Broadcasting (Public Service Content) Bill,2nd reading: House of Commons,01.04.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110401/debtext/110401-0001.htm#11040185000004
http://services.parliament.uk//bills/2010-12/broadcastingtelevisionlicencefeeabolition.html,2010-12,Broadcasting (Television Licence Fee Abolition) Bill,1st reading: House of Commons,05.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100705/debtext/100705-0002.htm#10070540000002
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,1st reading: House of Lords,21.10.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101021-0001.htm#10102148000668
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,2nd reading: House of Lords,08.11.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101108-0001.htm#10110813000458
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,Committee: 1st sitting: House of Lords,29.11.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101129-gc0001.htm#10112924000114
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,Committee: 2nd sitting: House of Lords,01.12.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101201-gc0001.htm#10120135000065
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,Committee: 3rd sitting: House of Lords,06.12.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101206-gc0001.htm#1012064000112
http://services.parliament.uk//bills/2010-12/budgetresponsibilityandnationalaudithl.html,2010-12,Budget Responsibility and National Audit Act,Committee: 4th sitting: House of Lords,09.12.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/101209-gc0001.htm#10120947000076
